title,exp_years,city,level,category,year
Senior Data Analyst,5,Nasr City,Experienced,Software Engneering,2021
Interior Designer,1,Dokki,Entry Level,Software Engneering,2021
Senior Technical Engineer,3,Maadi,Experienced,Software Engneering,2021
Principle Product Manager,5,Nasr City,Experienced,Software Engneering,2021
Draftsman,5,Heliopolis,Experienced,Software Engneering,2021
Marketing Specialist - Medical,1,Ameria,Entry Level,Software Engneering,2021
Broadcast Manger (Maadi),2,Maadi,Manager,Software Engneering,2021
Hyperion HFM Consultant,4,Cairo,Experienced,Software Engneering,2021
Technical Writer (Digital Marketing & Social...,1,Nasr City,Entry Level,Software Engneering,2021
SRE Manager,10,Sheraton,Manager,Software Engneering,2021
Technology Recruitment Manager,5,Cairo,Manager,Software Engneering,2021
Office Admin & Customer Service Specialist,2,Cairo,Experienced,Software Engneering,2021
Senior Business Analyst,5,Maadi,Experienced,Software Engneering,2021
SQL Database Team Leader,5,Smart Village,Manager,Software Engneering,2021
EPM Consultant,2,Cairo,Experienced,Software Engneering,2021
Scrum Master,4,New Cairo,Experienced,Software Engneering,2021
Social Media Specialist,1,Dokki,Entry Level,Software Engneering,2021
System Administrator SR.Engineer,1,Cairo,Entry Level,Software Engneering,2021
Product Manager,3,6th Of October,Manager,Software Engneering,2021
Business Analyst – Corporate Banking,8,Maadi,Experienced,Software Engneering,2021
Quality Control Engineer,0,6th Of October,Entry Level,Software Engneering,2021
Oracle Fusion Financial Consultant,5,Riyadh,Experienced,Software Engneering,2021
Marketing Executive,27,Maadi,Manager,Software Engneering,2021
CVM Technical Expert,5,Cairo,Experienced,Software Engneering,2021
HR and Office Manager,1,Dokki,Entry Level,Software Engneering,2021
Application Support Specialist,1,Maadi,Entry Level,Software Engneering,2021
Intranet Support SR.Engineer,1,Cairo,Entry Level,Software Engneering,2021
Routing Specialist,3,Katameya,Experienced,Software Engneering,2021
SAP FICO Consultant,2,Abbassia,Experienced,Software Engneering,2021
Mechanical Design Engineer,1,Badr City,Entry Level,Software Engneering,2021
Odoo Technical Consultant,1,New Cairo,Entry Level,Software Engneering,2021
Senior Accountant,3,New Cairo,Experienced,Software Engneering,2021
"Social Media Specialist "" Media Buyer """,2,Nasr City,Experienced,Software Engneering,2021
Performance Testing Lead,5,Cairo,Experienced,Software Engneering,2021
Graphic Designer,2,Maadi,Experienced,Software Engneering,2021
Electrical Engineer,5,Belbes,Experienced,Software Engneering,2021
Business Application Assistant Manager (Oracle),3,Nasr City,Experienced,Software Engneering,2021
Senior Strategy Analyst,3,New Cairo,Experienced,Software Engneering,2021
Financial Analyst,2,Cairo,Experienced,Software Engneering,2021
Security & Network Support Engineer (Tier 2),4,6th Of October,Experienced,Software Engneering,2021
Junior NOC Engineer,0,Maadi,Entry Level,Software Engneering,2021
Account Manager,1,New Cairo,Entry Level,Software Engneering,2021
Data Network & Security Engineer,7,New Cairo,Experienced,Software Engneering,2021
Senior Quality Engineer,3,Obour City,Experienced,Software Engneering,2021
Help Desk Specialist,1,Maadi,Entry Level,Software Engneering,2021
Senior Sales Account Manager,3,Sheikh Zayed,Experienced,Software Engneering,2021
Creative Graphic Design Intern,0,Madinaty,Entry Level,Software Engneering,2021
Technical Recruiter,1,Nasr City,Entry Level,Software Engneering,2021
Sales Engineer,1,Sheraton,Entry Level,Software Engneering,2021
Senior Implementation Consultant,3,Cairo,Experienced,Software Engneering,2021
SAP C4C Consultant,3,Dokki,Experienced,Software Engneering,2021
Night Front Desk Receptionist,0,New Cairo,Entry Level,Software Engneering,2021
Interior Designer,5,Cairo,Experienced,Software Engneering,2021
Tourism Manager,7,Hadayek Alahram,Manager,Software Engneering,2021
Business / System Analyst,2,Cairo,Experienced,Software Engneering,2021
Senior Product Owner,3,Alexandria,Experienced,Software Engneering,2021
French Teacher ( British Section ) - Tanta,2,Tanta,Experienced,Software Engneering,2021
Audio Visual Pre-sales Engineer,5,Nasr City,Experienced,Software Engneering,2021
Robotics Instructor Steam,0,New Cairo,Entry Level,Software Engneering,2021
Front Desk Receptionist,1,New Cairo,Experienced,Software Engneering,2021
Deputy CEO Manager,20,Sheikh Zayed,Manager,Software Engneering,2021
Information Security Administrator,3,Heliopolis,Experienced,Software Engneering,2021
System Administrator - Real estate,3,Mokattam,Experienced,Software Engneering,2021
WebSphere Application Engineer,3,Riyadh,Experienced,Software Engneering,2021
Senior Graphic Designer (Advertising Background),5,Mohandessin,Experienced,Software Engneering,2021
Microsoft Dynamics AX Senior Consultant,3,6th Of October,Experienced,Software Engneering,2021
Senior Design Engineer - MEP,5,Madinaty,Experienced,Software Engneering,2021
Junior Application Support Engineer,1,Maadi,Entry Level,Software Engneering,2021
Sales Manager,5,6th Of October,Manager,Software Engneering,2021
Accounting Manager,5,Maadi,Manager,Software Engneering,2021
Child Case Manager,5,Cairo,Manager,Software Engneering,2021
Senior Human Resources OD,3,Nasr City,Experienced,Software Engneering,2021
Medical Content Manager,3,Maadi,Manager,Software Engneering,2021
Graphic Designer - Real Estate,2,Cairo,Experienced,Software Engneering,2021
Math Teacher - Tanta,2,Tanta,Experienced,Software Engneering,2021
Project Specialist - Education Sector,1,Cairo,Entry Level,Software Engneering,2021
Senior Project Manager,3,Cairo,Experienced,Software Engneering,2021
Customer Experience Agent,2,Nasr City,Experienced,Software Engneering,2021
Senior Application Consultant (Microsoft...,2,New Cairo,Experienced,Software Engneering,2021
Technical Officer - Level 1,3,Cairo,Experienced,Software Engneering,2021
Operations Officer,1,Giza,Entry Level,Software Engneering,2021
Presales Engineer,7,Maadi,Experienced,Software Engneering,2021
Sales Executive,1,Maadi,Entry Level,Software Engneering,2021
Sales Acquisition Specialist - ( On Ground...,1,Maadi,Entry Level,Software Engneering,2021
SAP Basis Consultant,3,Cairo,Experienced,Software Engneering,2021
Senior Architect,4,Cairo,Experienced,Software Engneering,2021
Sales Planning Manager,5,10th Of Ramadan City,Manager,Software Engneering,2021
Senior Pre - Sales Engineer,4,Cairo,Experienced,Software Engneering,2021
Electronics Buyer,2,Nasr City,Experienced,Software Engneering,2021
Java & Database Instructor / Trainer,1,Haram,Entry Level,Software Engneering,2021
Sr. Business Systems Analyst,7,Cairo,Experienced,Software Engneering,2021
Purchasing Manager,5,Nasr City,Manager,Software Engneering,2021
Data Analytics Senior Analyst,8,Cairo,Experienced,Software Engneering,2021
Customer Service Engineer - Incident Management,2,Cairo,Experienced,Software Engneering,2021
Senior Sales Representative / Engineer,5,6th Of October,Experienced,Software Engneering,2021
Social Media Specialist,1,Obour City,Entry Level,Software Engneering,2021
Trade Marketing Manager,7,Obour City,Manager,Software Engneering,2021
Senior Product Owner - Alexandria,3,Alexandria,Experienced,Software Engneering,2021
Business Analyst,3,Sheraton,Experienced,Software Engneering,2021
Application Support Specialist,3,6th Of October,Experienced,Software Engneering,2021
Regional Tax Manager,7,Abbassia,Manager,Software Engneering,2021
Digital Marketing Supervisor,5,New Nozha,Manager,Software Engneering,2021
Restaurant Manager - Fast Food,6,North Coast,Manager,Software Engneering,2021
QSIT Project Manager,4,Cairo,Manager,IT Category,2021
Warehouse Manager,7,Maadi,Manager,Software Engneering,2021
Backend Develeper,3,Maadi,Experienced,Software Engneering,2021
SAP Implementation Lead,5,New Cairo,Experienced,Software Engneering,2021
Senior HR Business Partner,5,Nasr City,Experienced,Software Engneering,2021
Recruitment & OD Specialist,3,Maadi,Experienced,Software Engneering,2021
ICT Teacher,3,Maadi,Experienced,Software Engneering,2021
Geomatics Engineer,0,Heliopolis,Entry Level,Software Engneering,2021
Line Manager,3,Cairo,Manager,Software Engneering,2021
Architecture Technical Office Engineer - Cairo,5,New Cairo,Experienced,Software Engneering,2021
Senior 3D Modeling Specialist,3,Sheraton,Experienced,Software Engneering,2021
Graphic Designer,0,New Cairo,Entry Level,Software Engneering,2021
Digital Graphic Designer,3,Cairo,Experienced,Software Engneering,2021
Presales Engineer-Cloud,3,Nasr City,Experienced,Software Engneering,2021
Sales Account Manager,2,Cairo,Experienced,Software Engneering,2021
Junior Mechatronics Engineer,1,Cairo,Entry Level,Software Engneering,2021
QA Engineer,3,Smart Village,Experienced,Software Engneering,2021
Data Analyst,1,Cairo,Entry Level,Software Engneering,2021
Account Manager,3,Nasr City,Experienced,Software Engneering,2021
Online English Teacher,1,Cairo,Entry Level,Software Engneering,2021
Technical Support Engineer,3,Nasr City,Experienced,Software Engneering,2021
DevOps & SysOps Tech lead,6,Kuwait City,Experienced,Software Engneering,2021
Technical Office Engineer,1,Nasr City,Entry Level,Software Engneering,2021
Technical French Offshore Account...,0,Cairo,Entry Level,Software Engneering,2021
Senior Graphic Designer,4,Dokki,Manager,Software Engneering,2021
Web Designer - UI/UX,1,Heliopolis,Entry Level,Software Engneering,2021
Admin Assistant,1,Maadi,Entry Level,Software Engneering,2021
Product Owner,2,Maadi,Experienced,Software Engneering,2021
Senior Security Engineer,4,Heliopolis,Experienced,Software Engneering,2021
Operations Manager - Real Estate,5,New Cairo,Manager,Software Engneering,2021
Financial Analyst,7,Heliopolis,Experienced,Software Engneering,2021
Site Technical Support Engineer,1,6th Of October,Entry Level,Software Engneering,2021
OD Supervisor (Healthcare),4,Maadi,Experienced,Software Engneering,2021
Sr. Business Analyst,3,Cairo,Experienced,Software Engneering,2021
HR Generalist,3,6th Of October,Experienced,Software Engneering,2021
Production Engineer,2,Obour City,Experienced,Software Engneering,2021
Network Engineer,1,Katameya,Entry Level,Software Engneering,2021
Industrial Engineers ( Quality Assurance ),0,Dokki,Entry Level,Software Engneering,2021
Technical Sales Engineer,3,Cairo,Experienced,Software Engneering,2021
Implementation Consultant,3,Nasr City,Experienced,Software Engneering,2021
DevOps Engineer / Site Reliability Engineer -...,1,Cairo,Entry Level,Software Engneering,2021
Commercial Manager,6,Obour City,Manager,Software Engneering,2021
Associate Proposal Engineer,1,Mohandessin,Entry Level,Software Engneering,2021
Recruitment Specialist,2,Cairo,Experienced,Software Engneering,2021
Book Keeper- Full Time,1,Mohandessin,Entry Level,Software Engneering,2021
Graphic Designer,1,New Cairo,Entry Level,Software Engneering,2021
Senior Network Security Engineer,4,New Cairo,Experienced,Software Engneering,2021
Technical Writer,2,Nasr City,Experienced,Software Engneering,2021
Electronics Engineer,1,Sheraton,Experienced,Software Engneering,2021
Network Engineer,2,6th Of October,Experienced,Software Engneering,2021
Call Center Representative - Assiut,0,Assuit,Entry Level,Software Engneering,2021
Internal Auditor,1,New Cairo,Entry Level,Software Engneering,2021
Application Support Specialist,1,Sheikh Zayed,Entry Level,Software Engneering,2021
UX Designer,3,Dokki,Experienced,Software Engneering,2021
After Sales Service Manager (Home Appliance),5,Obour City,Manager,Software Engneering,2021
Brand Manager,6,Mohandessin,Manager,Software Engneering,2021
Graphic Designer,1,Mokattam,Entry Level,Software Engneering,2021
Architecture Engineer,1,Sheraton,Entry Level,Software Engneering,2021
Customer Service Manager,5,Mokattam,Manager,Software Engneering,2021
UI Designer,3,Heliopolis,Experienced,Software Engneering,2021
Data Management Administrator,1,Maadi,Entry Level,Software Engneering,2021
Direct Sales Manager,3,Maadi,Manager,Software Engneering,2021
SAP Basis Specialist,2,Cairo,Experienced,Software Engneering,2021
Sales Executive,2,Alexandria,Experienced,Software Engneering,2021
HR Planning & OD Supervisor,5,6th Of October,Experienced,Software Engneering,2021
Data Scientist,1,Nasr City,Entry Level,Software Engneering,2021
UX/UI Graphic Designer,2,Nasr City,Experienced,Software Engneering,2021
Sr. Full Stack Mobile Engineer,3,Maadi,Experienced,Software Engneering,2021
Technical Support Specialist,3,Mohandessin,Experienced,Software Engneering,2021
Telecommunication Engineer,2,Cairo,Experienced,Software Engneering,2021
Senior Network & System Admin,7,Obour City,Experienced,Software Engneering,2021
Financial Manager,10,Heliopolis,Manager,Software Engneering,2021
Senior Business Analyst,2,Heliopolis,Experienced,Software Engneering,2021
Telesales Executive,2,Nasr City,Experienced,Software Engneering,2021
Junior Customer Support (On-Site) - KSA,0,Abha,Entry Level,Software Engneering,2021
PRIME Credit Cards Functional Tester,3,Cairo,Experienced,Software Engneering,2021
Sales Engineer,0,Cairo,Entry Level,Software Engneering,2021
Senior Application Support Engineer (AX),3,Sheikh Zayed,Experienced,Software Engneering,2021
Senior Application Support Engineer (Sales Buzz),3,Sheikh Zayed,Experienced,Software Engneering,2021
Network & Security Administrator - Port Tawfik,3,Safaga,Experienced,Software Engneering,2021
Network & Security Administrator - Safaga,3,Safaga,Experienced,Software Engneering,2021
Network & Security Administrator - Safaga,3,Safaga,Experienced,Software Engneering,2021
Graphic Designer,2,Giza,Experienced,Software Engneering,2021
Communication Engineer,1,Madinaty,Entry Level,Software Engneering,2021
Graphic Designer,2,San Stefano,Experienced,Software Engneering,2021
Technical Writer,3,Nasr City,Experienced,Software Engneering,2021
Operations Manager For F&B,8,Alexandria,Manager,Software Engneering,2021
Mechanical Design Engineer,1,6th Of October,Entry Level,Software Engneering,2021
Senior Cost Accountant,5,Maadi,Experienced,Software Engneering,2021
Pharmacist,2,Damanhour,Entry Level,Software Engneering,2021
Senior Graphic Designer,3,Cairo,Experienced,Software Engneering,2021
Unit Manager - Marketing,7,New Cairo,Manager,Software Engneering,2021
Civil Tendering Engineer,4,Sheikh Zayed,Experienced,Software Engneering,2021
Regional Sales Manager,5,Zamalek,Manager,Software Engneering,2021
Electromechanical Engineer,3,Madinaty,Experienced,Software Engneering,2021
Print Quality Engineer,0,6th Of October,Entry Level,Software Engneering,2021
Internal Auditor - Operations,1,Giza,Entry Level,Software Engneering,2021
English Technical Author - Accounting,2,6th Of October,Experienced,Software Engneering,2021
Arabic Technical Author - Accounting,2,6th Of October,Experienced,Software Engneering,2021
Mainframe Management SR.Engineer,1,Cairo,Entry Level,Software Engneering,2021
Sales Supervisor,4,Cairo,Manager,Software Engneering,2021
Inventory Accountant,1,New Cairo,Entry Level,Software Engneering,2021
Jr. BI & Data Warehouse Specialist,1,Cairo,Entry Level,Software Engneering,2021
Social Media Specialist,3,Salam City,Experienced,Software Engneering,2021
Robotics Instructor - Steam,0,New Cairo,Entry Level,Software Engneering,2021
Marketing Manager,5,Nasr City,Manager,Software Engneering,2021
Planning Engineer,5,Dokki,Experienced,Software Engneering,2021
Front Desk Receptionist - Intermship,0,New Cairo,Manager,Software Engneering,2021
Network Security Specialist,5,6th Of October,Experienced,Software Engneering,2021
Social Media Moderator,1,Maadi,Entry Level,Software Engneering,2021
Business Analyst,1,Maadi,Entry Level,Software Engneering,2021
Senior Project Manager,3,Maadi,Manager,Software Engneering,2021
Business Research Analyst,2,Cairo,Experienced,Software Engneering,2021
Senior Oracle SCM Consultant,3,10th Of Ramadan City,Experienced,Software Engneering,2021
Senior Data Scientist,3,Cairo,Experienced,Software Engneering,2021
Data Scientist,1,Cairo,Experienced,Software Engneering,2021
Mechanical Dept. Senior Sales Engineer,5,6th Of October,Experienced,Software Engneering,2021
SDE-3,7,Maadi,Experienced,Software Engneering,2021
Junior Electrical Design Engineer,5,Dokki,Experienced,Software Engneering,2021
Electrical/ Mechanical Teacher,2,10th Of Ramadan City,Experienced,Software Engneering,2021
Group Talent Acquisition & Employer Branding...,10,New Cairo,Manager,Software Engneering,2021
Technical Support Manager,5,Heliopolis,Manager,Software Engneering,2021
Oracle EBS Technical Consultant,3,Cairo,Experienced,Software Engneering,2021
Cloud Project Lead,2,Maadi,Manager,Software Engneering,2021
Senior Tax Accountant,6,Cairo,Experienced,Software Engneering,2021
Processing & VAS Solutions Manager (Network Lite),12,New Cairo,Manager,Software Engneering,2021
Graphic Designer / Social Media Specialist /...,3,Bourj Alarab,Experienced,Software Engneering,2021
Senior Architect,6,Maadi,Experienced,Software Engneering,2021
Accountant - Food & Beverage,1,Nasr City,Entry Level,Software Engneering,2021
Market Communication Manager,10,Heliopolis,Manager,Software Engneering,2021
Production Engineer,2,10th Of Ramadan City,Experienced,Software Engneering,2021
Solutions Specialist,0,Maadi,Entry Level,Software Engneering,2021
Senior Data Scientist,3,Mohandessin,Experienced,Software Engneering,2021
Junior/Senior Desktop Admin,2,Maadi,Experienced,Software Engneering,2021
Sales Specialist,1,Hadayek Alahram,Experienced,Software Engneering,2021
English Teacher - Tanta,2,Tanta,Experienced,Software Engneering,2021
Sales Specialist - Medical Technologies,2,Giza,Experienced,Software Engneering,2021
SAP MM Consultant,3,Dokki,Experienced,Software Engneering,2021
Senior Workforce Specialist,3,Beni Suef,Manager,Software Engneering,2021
Projects Coordinator/ Admin,2,Sheikh Zayed,Experienced,Software Engneering,2021
Information Security Specialist,5,Cairo,Experienced,Software Engneering,2021
Senior Marketing Specialist,4,New Cairo,Experienced,Software Engneering,2021
Scrum Master,3,6th Of October,Experienced,Software Engneering,2021
Sales Representative Real Estate,1,Hadayek Alahram,Entry Level,Software Engneering,2021
Quality Assurance Manager,10,10th Of Ramadan City,Manager,Software Engneering,2021
Graphic Designer,2,New Cairo,Experienced,Software Engneering,2021
React Native Devloper,1,Nasr City,Entry Level,Software Engneering,2021
Senior Graphic Designer,5,Nasr City,Experienced,Software Engneering,2021
Senior SAP(FICO) Consultant,10,Heliopolis,Experienced,Software Engneering,2021
Senior SAP (HCM) Consultant,10,Heliopolis,Experienced,Software Engneering,2021
Pricing Manager,3,Maadi,Manager,Software Engneering,2021
MEP Technical office Engineer,7,New Cairo,Experienced,Software Engneering,2021
Social Media Specialist,3,Heliopolis,Experienced,Software Engneering,2021
SAP Successfactor Consultant,6,Cairo,Experienced,Software Engneering,2021
Internal Audit Supervisor,3,10th Of Ramadan City,Manager,Software Engneering,2021
Oracle Database Administrator,3,Cairo,Experienced,Software Engneering,2021
Business Analyst,5,Cairo,Experienced,Software Engneering,2021
Key Account Manager,1,Mokattam,Entry Level,Software Engneering,2021
Graphic Designer,1,Alexandria,Entry Level,Software Engneering,2021
Medical Marketing Manager,3,Alexandria,Manager,Software Engneering,2021
Technical Recruitment Specialist,3,Maadi,Experienced,Software Engneering,2021
VMware NSX Engineer,2,Maadi,Experienced,Software Engneering,2021
Online Korean Teacher,1,Cairo,Entry Level,Software Engneering,2021
Cyber Security Senior Engineer,4,Mokattam,Experienced,Software Engneering,2021
SLA Manager,5,Riyadh,Manager,Software Engneering,2021
ERP Implementer,1,Smart Village,Entry Level,Software Engneering,2021
Product Management & Planning Specialist,2,Heliopolis,Experienced,Software Engneering,2021
HR Executive,7,New Cairo,Experienced,Software Engneering,2021
Education Advisor (Global Student Admissions),1,Maadi,Entry Level,Software Engneering,2021
Farm Manager,10,Aswan,Manager,Software Engneering,2021
UI/UX Designer,3,Maadi,Experienced,Software Engneering,2021
System Administrator,2,Sheikh Zayed,Experienced,Software Engneering,2021
Real Estate Sales Manager,8,Cairo,Manager,Software Engneering,2021
Accounting Manager,20,Cairo,Manager,Software Engneering,2021
Graphic Designer,3,Mokattam,Experienced,Software Engneering,2021
SOC Engineer,2,Dokki,Experienced,Software Engneering,2021
Personal Assistant - Alexandria,7,Mahta Alraml,Experienced,Software Engneering,2021
Human Resources Manager,7,Maadi,Manager,Software Engneering,2021
Graphic Designer,2,Heliopolis,Experienced,Software Engneering,2021
Internal Auditor - Alexandria,3,Bourj Alarab,Experienced,Software Engneering,2021
Product Designer,2,Maadi,Experienced,Software Engneering,2021
Business Intelligence Data Analyst,1,New Cairo,Entry Level,Software Engneering,2021
Virtual Assistant Supervisor,3,Cairo,Manager,Software Engneering,2021
UI UX Designer,1,Heliopolis,Entry Level,Software Engneering,2021
Sales Representative,2,Cairo,Experienced,Software Engneering,2021
Product Manager (E-Commerce),3,Nasr City,Experienced,Software Engneering,2021
UX/UI Designer,1,Nasr City,Entry Level,Software Engneering,2021
Creative English Editor,1,Giza,Entry Level,Software Engneering,2021
Audio Description Writer/Editor,0,Agouza,Entry Level,Software Engneering,2021
Online Arabic Teacher For Non - Arabic Speakers,1,Cairo,Entry Level,Software Engneering,2021
Accountant / Supervisor,9,Mahta Alraml,Manager,Software Engneering,2021
Junior Civil Engineer,2,New Cairo,Experienced,Software Engneering,2021
Architecture Engineer,1,Giza,Entry Level,Software Engneering,2021
Odoo Implementer,3,San Stefano,Experienced,Software Engneering,2021
QA Document Controller,3,Hadayek Alkobba,Experienced,Software Engneering,2021
Real Estate Admin,2,New Cairo,Experienced,Software Engneering,2021
Area Sales Manager ( Waterproofing Products ),6,Giza,Manager,Software Engneering,2021
SAP Basis Team Lead,2,Cairo,Manager,Software Engneering,2021
Indoor Presales /Sales Executive - Alexandria,1,Smouha,Entry Level,Software Engneering,2021
Quality Control Manager (WORLD CLASS...,8,Cairo,Manager,Software Engneering,2021
Data Analysis & Forecasting,2,Maadi,Experienced,Software Engneering,2021
Senior/ Lead ELV Engineer,9,Maadi,Manager,Software Engneering,2021
Electrical Engineer,4,Alexandria,Experienced,Software Engneering,2021
Project Manager - Design,10,Madinaty,Manager,Software Engneering,2021
Digital Account Manager,2,Cairo,Experienced,Software Engneering,2021
ERP Functional Consultant - (Lead Integrator),3,Maadi,Experienced,Software Engneering,2021
Maintenance & Technical Engineer - Cairo,1,Heliopolis,Entry Level,Software Engneering,2021
Sales Supervisor,7,Nasr City,Manager,Software Engneering,2021
Senior UX Designer,4,Nasr City,Experienced,Software Engneering,2021
Sales Account Manager - B2B Corporate,1,6th Of October,Entry Level,Software Engneering,2021
Design Engineer,2,10th Of Ramadan City,Experienced,Software Engneering,2021
Finance Manager,5,Alexandria,Manager,Software Engneering,2021
Hosting & Cloud Presales Engineer,2,Maadi,Experienced,Software Engneering,2021
Virtual Servers Administrator,6,6th Of October,Experienced,Software Engneering,2021
Odoo Functional Consultant,1,Maadi,Entry Level,Software Engneering,2021
Quality Control Manager,7,Khanka,Manager,Software Engneering,2021
TES Incident Management Engineer (German Speaker),1,6th Of October,Entry Level,Software Engneering,2021
SAP Supply Chain Management Functional Consultant,6,Cairo,Experienced,Software Engneering,2021
International Sales Supervisor,4,10th Of Ramadan City,Manager,Software Engneering,2021
Mechanical Design Engineer,3,10th Of Ramadan City,Experienced,Software Engneering,2021
Customer Service Manager,5,Giza,Manager,Software Engneering,2021
Scrum Master,2,Nasr City,Experienced,Software Engneering,2021
Application Support Engineer,1,6th Of October,Entry Level,Software Engneering,2021
Art Director / Graphic Designer,7,6th Of October,Experienced,Software Engneering,2021
ERP Support Engineer,3,Heliopolis,Experienced,Software Engneering,2021
Project Manager,5,6th Of October,Experienced,Software Engneering,2021
Senior Partnerships Executive,3,Maadi,Experienced,Software Engneering,2021
ERP Fin Expert,7,6th Of October,Experienced,Software Engneering,2021
Financial Manager,13,Cairo,Manager,Software Engneering,2021
3D Generalist,1,Alexandria,Entry Level,Software Engneering,2021
Data Analyst,3,Cairo,Experienced,Software Engneering,2021
Graphic Designer - Maadi,1,Maadi,Entry Level,Software Engneering,2021
Senior Network Engineer,4,6th Of October,Experienced,Software Engneering,2021
Tax Accountant,5,New Cairo,Experienced,Software Engneering,2021
Project Manager,5,Riyadh,Manager,Software Engneering,2021
Linux SysOps Administrator - Alexandria,1,Alexandria,Entry Level,Software Engneering,2021
Project Manager,3,Nasr City,Experienced,Software Engneering,2021
HR Generalist,3,Downtown,Experienced,Software Engneering,2021
Sales Manager,8,Kawthar,Manager,Software Engneering,2021
ERP System Analyst,5,New Cairo,Experienced,Software Engneering,2021
Senior Contracts Engineer,3,Giza,Experienced,Software Engneering,2021
Junior Service Desk,1,Shubra,Entry Level,Software Engneering,2021
Internal Consultant,1,Cairo,Entry Level,Software Engneering,2021
Network Engineer,2,Sheraton,Experienced,Software Engneering,2021
Sales Engineer,5,Heliopolis,Experienced,Software Engneering,2021
Compensation & Benefits Specialist,4,6th Of October,Experienced,Software Engneering,2021
Social Media Moderator,1,Mahta Alraml,Entry Level,Software Engneering,2021
Supply Chain Specialist,3,10th Of Ramadan City,Experienced,Software Engneering,2021
Google Cloud Data Architect,5,Cairo,Experienced,Software Engneering,2021
Do You Wanna Make Difference As An Engineer?,5,New Cairo,Experienced,Software Engneering,2021
Architecture / Technical Office Site Engineer,5,10th Of Ramadan City,Experienced,Software Engneering,2021
Senior Graphic Designer,4,Cairo,Experienced,Software Engneering,2021
Auditing Supervisor,3,Nasr City,Manager,Software Engneering,2021
English Instructor,2,Nasr City,Experienced,Software Engneering,2021
COO,8,Cairo,Manager,Software Engneering,2021
Big Data Engineer - Jumia Food,3,Cairo,Experienced,Software Engneering,2021
Senior System Administrator.,1,New Cairo,Entry Level,Software Engneering,2021
Ecommerce Marketing Manager,7,Nasr City,Manager,Software Engneering,2021
Business Analyst,3,Nasr City,Experienced,Software Engneering,2021
Math Supervisor,3,Haram,Manager,Software Engneering,2021
Business Analyst / Product Owner,5,New Cairo,Experienced,Software Engneering,2021
Scrum Product Owner (FinTech),2,Sheikh Zayed,Manager,Software Engneering,2021
Marketing Analyst,3,6th Of October,Experienced,Software Engneering,2021
Project Manager,3,6th Of October,Experienced,Software Engneering,2021
Sales Engineer,1,Sheraton,Entry Level,Software Engneering,2021
Marketing Executive - Alexandria,1,Glim,Entry Level,Software Engneering,2021
Senior Network Security Engineer,5,Sheraton,Experienced,Software Engneering,2021
Accounting Manager - Automotive Industry,10,Sheikh Zayed,Manager,Software Engneering,2021
One Stop Shop Specialist,0,Dokki,Entry Level,Software Engneering,2021
Junior Architect,3,Maadi,Experienced,Software Engneering,2021
Delivery Manager مدير توصيل طلبات,10,Heliopolis,Manager,Software Engneering,2021
Quality Assurance Analyst,2,Cairo,Experienced,Software Engneering,2021
SAP SD & CRM & TM Functional Consultant,6,Cairo,Experienced,Software Engneering,2021
Business Application Support Specialist - Ismailia,0,Ismailia,Entry Level,Software Engneering,2021
Senior System Administrator,5,Nasr City,Experienced,Software Engneering,2021
Content Writer,1,Maadi,Entry Level,Software Engneering,2021
Graphic Designer/Communications Specialist,3,Heliopolis,Experienced,Software Engneering,2021
Odoo Implementer,1,Cairo,Entry Level,Software Engneering,2021
Data Analyst,3,Dokki,Experienced,Software Engneering,2021
Microsoft Senior Presales Specialist,3,New Cairo,Experienced,Software Engneering,2021
Presales Engineer,1,Cairo,Entry Level,Software Engneering,2021
Technical Consultant / Cairo,3,New Cairo,Experienced,Software Engneering,2021
Foreign Purchasing Specialist,1,6th Of October,Entry Level,Software Engneering,2021
Enterprise Risk Management Section Head,5,10th Of Ramadan City,Manager,Software Engneering,2021
Senior Technical Agent Tier / Team Leader,3,Abbassia,Manager,Software Engneering,2021
Senior UI/UX Designer,2,Maadi,Experienced,Software Engneering,2021
Planner & Coordinator of Training Courses,3,Mohandessin,Experienced,Software Engneering,2021
Senior Public Relations Executive,6,Garden City,Experienced,Software Engneering,2021
ERP Functional Consultant (Lead Integrator),3,Maadi,Experienced,Software Engneering,2021
Auditing Manager,4,Nasr City,Manager,Software Engneering,2021
Internal Auditor,2,Nozha,Experienced,Software Engneering,2021
Digital Media Buyer,3,Nasr City,Experienced,Software Engneering,2021
Tender Representative - Cairo,2,Heliopolis,Experienced,Software Engneering,2021
Design Engineer,0,Obour City,Entry Level,Software Engneering,2021
Portfolio Marketing Lead,16,Alexandria,Manager,Software Engneering,2021
Senior Data Analyst,3,Sheraton,Experienced,Software Engneering,2021
Senior Digital Marketing Specialist,3,Obour City,Experienced,Software Engneering,2021
UI UX Designer,1,Mansoura,Entry Level,Software Engneering,2021
Account Executive Intern,14,Maadi,Manager,Software Engneering,2021
Continuous Improvement Engineer - (Wadi Alnatrun),2,Noubaria,Experienced,Software Engneering,2021
HSE Specialist,2,6th Of October,Experienced,Software Engneering,2021
Payment & Card Specialist,6,Nasr City,Experienced,Software Engneering,2021
Sales Supervisor ( Must be a BTL Professional ),3,Sheraton,Manager,Software Engneering,2021
Senior Cost Accountant - Alexandria,5,Bourj Alarab,Experienced,Software Engneering,2021
Quality Systems Project Manager,10,Sheraton,Experienced,Software Engneering,2021
Chief Accountant,10,6th Of October,Manager,Software Engneering,2021
