title,company_name,location,exp_years,city,level,time,category,year
DevOps Engineer,FlairsTech,"Maadi, Cairo",4,Maadi,Experienced,Full Time,Software Engneering,2021
Senior Systems Analyst (Only For Immediate Hiring),3S Software,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
System Administrator,Ejada (Cairo),"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2021
Embedded Systems Engineer,Amjaad Technology,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Technical Support Engineer,INFINITY EGYPT,"Dokki, Giza",6,Dokki,Experienced,Full Time,Software Engneering,2021
Python - Pandas,Cegedim,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Application Architect,Confidential,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2021
Quality Control Specialist,Soficopharm,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
E-commerce & Digital Marketing Specialist,Confidential,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2021
Senior Back-End Engineer / .NET,PaySky,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Quality Control Engineer - Mid & Senior Level,Ibtikar,"Alexandria, Egypt",2,Alexandria,Experienced,Full Time,Software Engneering,2021
Technical Support Specialist,justagain,"New Cairo, Cairo",0,New Cairo,Entry Level,Full Time,Software Engneering,2021
Scrum Master (Cairo).,Cegedim,"New Cairo, Cairo",5,New Cairo,Experienced,Full Time,Software Engneering,2021
DevOps Engineer - Cairo,Maxycode,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Service Desk Specialist (Damietta),Confidential,"Damietta, Egypt",0,Damietta,Entry Level,Full Time,Software Engneering,2021
Senior Business Data Analyst,Johnson Controls,"New Cairo, Cairo",4,New Cairo,Experienced,Full Time,Software Engneering,2021
Senior QC Engineer,Second profit,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
Mid/Senior System Engineer,Contensi Egypt for Software,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2021
Marketing Manager,United Doctors,"Heliopolis, Cairo",5,Heliopolis,Manager,Full Time,Software Engneering,2021
Senior Frontend Engineer,TurnDigital,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Coding / Programming Teacher,NASS Academy,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Scrum Master - Product Owner,Eduapps,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2021
PHP Team Leader,e Aswaaq Misr,"Giza, Egypt",5,Giza,Manager,Full Time,Software Engneering,2021
Business Analyst,Future Face,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
Quality Control Engineer,Hatley App,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
System / Business Analyst,Dimofinf Operations Center,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Senior System Engineer,QualiDev,"Maadi, Cairo",4,Maadi,Experienced,Full Time,Software Engneering,2021
Teaching Assistant In Engineering In Chemistry,Egypt University of Informatics (EUI),"New Capital, Cairo",1,New Capital,Entry Level,Full Time,Software Engneering,2021
Assistant Lecturer In Engineering In Chemistry,Egypt University of Informatics (EUI),"New Capital, Cairo",1,New Capital,Entry Level,Full Time,Software Engneering,2021
Scrum Master/Project Manager,Rytalo,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
Help Desk Specialist,Cashcall,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Business Analyst SW Solutions,nilecode,"Maadi, Cairo",3,Maadi,Manager,Full Time,Software Engneering,2021
ESB Senior Specialist,B.Tech,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Ace Program German Speaking Service Desk Analyst,AIESEC Cairo University,"Budapest, Hungary",30,Budapest,Entry Level,Full Time,Software Engneering,2021
Marketing Manager - Pharmaceutical,Multicare,"New Cairo, Cairo",3,New Cairo,Manager,Full Time,Software Engneering,2021
Java Technical Lead,DIRAC SYSTEMS,"Heliopolis, Cairo",7,Heliopolis,Manager,Full Time,Software Engneering,2021
System Admin And Help Desk Engineer,American International School,"Sheikh Zayed, Giza",3,Sheikh Zayed,Experienced,Full Time,Software Engneering,2021
System Engineer - Sadat City,Sphinx Glass,"Alsadat City, Monufya",3,Alsadat City,Experienced,Full Time,Software Engneering,2021
Implementation Specialist (Sales Buzz),BI-Technologies,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2021
Senior Quality Control Engineer,SURE International Technology,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2021
Senior Network Engineer,Confidential,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2021
Solution Architect/Tech Lead (Ruby On Rails),Premier Services and Recruitment,"Cairo, Egypt",10,Cairo,Manager,Full Time,Software Engneering,2021
Incubation Senior Specialist,ITIDA,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2021
Business Analyst,Alkan CIT,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Embedded Systems Engineer,Garment IO,"Sheikh Zayed, Giza",3,Sheikh Zayed,Experienced,Full Time,Software Engneering,2021
Junior Scrum Master,RDI,"Dokki, Giza",1,Dokki,Entry Level,Full Time,Software Engneering,2021
Telesales Representative,Confidential,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2021
C4C Consultant,Pharma Overseas,"Smouha, Alexandria",2,Smouha,Experienced,Full Time,Software Engneering,2021
Technical Project Manager,Extreme Solution,"Downtown, Cairo",3,Downtown,Experienced,Full Time,Software Engneering,2021
System Admin,Petrosafe,"Maadi, Cairo",6,Maadi,Experienced,Full Time,Software Engneering,2021
DevOps Engineer / Linux Adminstrator,IT Systems Corporation,"6th Of October, Giza",1,6th Of October,Entry Level,Full Time,Software Engneering,2021
Service Delivery Manager,Forte Cloud,"New Cairo, Cairo",12,New Cairo,Manager,Full Time,Software Engneering,2021
QA Testing Automation Engineer,Deal,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Devops Engineer,Ibn Sina Pharma,"New Heliopolis, Cairo",3,New Heliopolis,Experienced,Full Time,Software Engneering,2021
Sr. RPA Consultant,SAED,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Systems Operation Engineer,Fawry Banking & Payment Technology Services,"Smart Village, Giza",1,Smart Village,Entry Level,Full Time,Software Engneering,2021
Game Designer,InnovaTech Group,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2021
React Frontend Engineer,OrderGO LTD,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Product Owner,Expand Cart,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2021
Deputy Manager OEM Business,Confidential,"Cairo, Egypt",7,Cairo,Manager,Full Time,Software Engneering,2021
Space Admin - Ideaspace HELIO,Cultiv,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2021
Product Owner,CreditGO,"Alexandria, Egypt",2,Alexandria,Experienced,Full Time,Software Engneering,2021
Digital Marketing Senior Specialist,Digisay,"Zamalek, Cairo",3,Zamalek,Experienced,Full Time,Software Engneering,2021
DevOps Engineer (Part time - Freelance),Togar,"New Nozha, Cairo",1,New Nozha,Entry Level,Full Time And Part Time,Software Engneering,2021
Computer & Networks Teacher (Mansoura),NASS Academy,"Mansoura, Dakahlia",2,Mansoura,Experienced,Full Time,Software Engneering,2021
Associate TechOps & Support Engineer,Sumerge,"Maadi, Cairo",0,Maadi,Entry Level,Full Time,Software Engneering,2021
Tester Quality Assurance Officer,Confidential,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2021
Technical Back End Lead (.Net ),Arabian Systems,"New Cairo, Cairo",3,New Cairo,Manager,Full Time,Software Engneering,2021
Senior SWD - R&D,Silicon Egypt,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2021
Back-End Lead / PHP / Laravel,PaySky,"New Cairo, Cairo",5,New Cairo,Manager,Full Time,Software Engneering,2021
Graphic Designer,The Egyptian Company for Project Development,"Haram, Giza",1,Haram,Entry Level,Full Time,Software Engneering,2021
Export Sales Manager,Massoud Steel,"Obour City, Cairo",5,Obour City,Manager,Full Time,Software Engneering,2021
Senior Business Analyst,IBS Valley,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Senior QA Engineer,Path-Solutions,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2021
QA Engineer,Path-Solutions,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Help Desk & Technical Support Agent,Medicare,"Garden City, Cairo",2,Garden City,Experienced,Full Time,Software Engneering,2021
Technical Support Advisor (Fluent English...,3D Diagnostix,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Technical Support Engineer (Outsourcing),Interact Technology Solutions,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Head Of Internal Audit,Premier Services and Recruitment,"Cairo, Egypt",15,Cairo,Manager,Full Time,Software Engneering,2021
Java Senior Technical Lead,LINK Development,"Maadi, Cairo",10,Maadi,Manager,Full Time,Software Engneering,2021
Mobile Engineer,TRANSSION HOLDINGS,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Backend Engineer,Rubikal,"Alexandria, Egypt",2,Alexandria,Experienced,Full Time,Software Engneering,2021
React Native Devloper,IMS,"Rehab City, Cairo",2,Rehab City,Experienced,Full Time,Software Engneering,2021
React Native Devloper,Confidential,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Cloud Systems Administrator,34ML,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2021
Line Sales Manager - Pharmaceutical,Multicare,"New Cairo, Cairo",3,New Cairo,Manager,Full Time,Software Engneering,2021
Account Manager,Confidential,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Scrum Master,Trufla,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2021
Senior Python Engineer,camelCase,"Mohandessin, Giza",3,Mohandessin,Experienced,Full Time,Software Engneering,2021
Maintenance Manager - Electrical Engineering -...,Confidential,"Giza, Giza",10,Giza,Manager,Full Time,Software Engneering,2021
Computer Science Instructor Steam,iSchool,"New Cairo, Cairo",0,New Cairo,Entry Level,Full Time,Software Engneering,2021
Backend Engineer,TurnDigital,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Algorithm Engineer,Biobusiness,"Haram, Giza",2,Haram,Experienced,Full Time,Software Engneering,2021
Devops Engineer,Kashier Payment Solutions,"Zamalek, Cairo",3,Zamalek,Experienced,Full Time,Software Engneering,2021
Product Manager,NowPay,"Giza, Giza",4,Giza,Experienced,Full Time,Software Engneering,2021
Senior Backend Engineer,FILLFLIX for Software,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2021
Senior Communication Officer,GlobeMed Egypt,"Maadi, Cairo",4,Maadi,Experienced,Full Time,Software Engneering,2021
Senior Business Analyst,INTDV,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2021
Group Manager - Research (General/ Metals/...,Evalueserve,"Riyadh, Saudi Arabia",5,Riyadh,Manager,Full Time,Software Engneering,2021
Technical Team Leader,Perfect Presentation,"6th Of October, Giza",10,6th Of October,Manager,Full Time,Software Engneering,2021
Systems Analyst,ISFP,"Smouha, Alexandria",3,Smouha,Experienced,Full Time,Software Engneering,2021
Human Resources Business Partner,360Imaging,"Dokki, Giza",5,Dokki,Experienced,Full Time,Software Engneering,2021
Scrum Master Project Coordinator,Expand Cart,"6th Of October, Giza",2,6th Of October,Manager,Full Time,Software Engneering,2021
Senior System Administrator,Somabay,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2021
Senior Testing Engineer,Advansys ESC,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2021
Business Analyst,GCSSD,"Heliopolis, Cairo",5,Heliopolis,Experienced,Full Time,Software Engneering,2021
Senior DevOps Engineer,Cegedim,"New Cairo, Cairo",5,New Cairo,Experienced,Full Time,Software Engneering,2021
UX /UI Designer,Transmar International,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Product Manager,Holix,"Doha, Qatar",6,Doha,Manager,Full Time,Software Engneering,2021
Technical Support Agent ( Gaming & Computer...,Awfarlak,"Katameya, Cairo",1,Katameya,Entry Level,Full Time,Software Engneering,2021
Testing & QA Supervisor,B.Tech,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2021
High School Computer & Networks Teacher (Minya),NASS Academy,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
High School Computer & Networks Teacher (Suez),NASS Academy,"Suez, Egypt",2,Suez,Experienced,Full Time,Software Engneering,2021
High School Computer & Networks Teacher...,NASS Academy,"Alexandria, Egypt",2,Alexandria,Experienced,Full Time,Software Engneering,2021
Graphic & UI/UX Designer,DE.CI Cairo,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
System Engineer - Fresh Graduate,"Roaya IT Solutions,","Maadi, Cairo",0,Maadi,Entry Level,Full Time,Software Engneering,2021
Information Technology Administrator & Security,Egyptian Cultural Center,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Systems Analyst / ERP Application Support Analyst,(Delta Textile Egypt),"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
R&D Formulation Section Head - Pharmaceutical,Multicare,"New Cairo, Cairo",3,New Cairo,Manager,Full Time,Software Engneering,2021
Senior Graphic Designer,Majestic Pharmaceuticals,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Senior ERP Application Consultant - Implementation,Microtech,"Dokki, Giza",4,Dokki,Experienced,Full Time,Software Engneering,2021
Public Relations Manager,Yodawy,"Mohandessin, Giza",3,Mohandessin,Experienced,Full Time,Software Engneering,2021
Senior Quality Control Engineer,TurnDigital,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Product Owner,700 apps,"Riyadh, Saudi Arabia",4,Riyadh,Experienced,Full Time,Software Engneering,2021
Business Analyst Lead,Masary,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2021
KG English Teacher,GEMS Education,"Madinaty, Cairo",2,Madinaty,Experienced,Full Time,Software Engneering,2021
Odoo Sales Account Manager - Cairo,OdooTec,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Application Consultant,HITS Technologies,"Nasr City, Cairo",0,Nasr City,Entry Level,Full Time,Software Engneering,2021
Cash Accountant,Digisay,"Zamalek, Cairo",2,Zamalek,Experienced,Full Time,Software Engneering,2021
System Analyst (Banking),Veripark,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
B2B Leads Generator,MatsMall,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
UI/UX Designer,Intercept Technologies,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Accounting Manager,TechnoBit Group,"Cairo, Egypt",10,Cairo,Manager,Full Time,Software Engneering,2021
SDE - 1,Confidential,"Cairo, Egypt",1,Cairo,Entry Level,Full Time,Software Engneering,2021
PHP Team Leader - Giza,Excel Systems,"Sheikh Zayed, Giza",8,Sheikh Zayed,Manager,Full Time,Software Engneering,2021
Digital Sales Manager,Digisay,"Jeddah, Saudi Arabia",5,Jeddah,Manager,Full Time,Software Engneering,2021
CRM Specialist - Handover,Delta Capital for Urban Development,"Dokki, Giza",3,Dokki,Experienced,Full Time,Software Engneering,2021
Senior UI/UX Designer,SURE International Technology,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2021
Senior Quality Assurance Engineer - KSA,Aqwas,"Riyadh, Saudi Arabia",3,Riyadh,Experienced,Full Time,Software Engneering,2021
Senior Sales Account Manager,Simple Touch Software,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Help Desk Specialist,Shoura Chemicals,"Giza, Egypt",1,Giza,Entry Level,Full Time,Software Engneering,2021
Frontend Engineering Lead,TurnDigital,"Maadi, Cairo",5,Maadi,Manager,Full Time,Software Engneering,2021
Senior DevOps Engineer - Remotely,"Nile Bits, LLC","Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
UI/UX Designer,O7 Therapy,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Embedded System Engineer,Ahram Security Group,"10th Of Ramadan City, Sharqia",14,10th Of Ramadan City,Manager,Internship,Software Engneering,2021
Business Analyst,Advansys ESC,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2021
[CGEG012] Product Owner - Cairo.,Cegedim,"New Cairo, Cairo",6,New Cairo,Experienced,Full Time,Software Engneering,2021
Oracle Financials Consultant,Raya,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2021
UI UX Designer,Smart IT Business,"Cairo, Egypt",1,Cairo,Entry Level,Full Time,Software Engneering,2021
Finance ERP Senior Consultant,Ibn Sina Pharma,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Odoo Sales Account Manager - Saudi Arabia (Must...,OdooTec,"Riyadh, Saudi Arabia",2,Riyadh,Experienced,Full Time,Software Engneering,2021
Machine Learning Engineer,Caelum Egypt,"Dokki, Giza",3,Dokki,Experienced,Full Time,Software Engneering,2021
Help Desk Specialist,Decent Home Wooden Products,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2021
Web Graphic / UX Designer,Initium Solutions,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2021
ERP Project Manager,Pro Grow,"Nasr City, Cairo",10,Nasr City,Manager,Full Time,Software Engneering,2021
Full Stack Team Leader (Node.js),Tech SquAd,"6th Of October, Giza",7,6th Of October,Manager,Full Time,Software Engneering,2021
OFSAA EPM Application Support,Confidential,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Back-End Engineer - Cairo,Filkhedma,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Senior Architect,MAC EGYPT REAL ESTATE CO.,"10th Of Ramadan City, Cairo",7,10th Of Ramadan City,Experienced,Full Time,Software Engneering,2021
Network Security Engineer,Perfect Presentation,"6th Of October, Giza",5,6th Of October,Experienced,Full Time,Software Engneering,2021
Project Manager,IRSC,"Mokattam, Cairo",5,Mokattam,Manager,Full Time,Software Engneering,2021
Help Desk Specialist,Sky Distribution,"Sheikh Zayed, Giza",2,Sheikh Zayed,Experienced,Full Time,Software Engneering,2021
DevOps Engineer,Beyond Solution,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Systems Engineer,Sumerge,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
Indoor Sales Representative - Alexandria,Bishop Integrated Solutions,"Glim, Alexandria",1,Glim,Entry Level,Full Time,Software Engneering,2021
Science Teacher - French Language,GEMS Education,"Madinaty, Cairo",2,Madinaty,Experienced,Full Time,Software Engneering,2021
Key Account Manager/Associate - Respiratory...,Multicare,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Senior Application Consultant,HITS Technologies,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
CRM Specialist -,Castle developments,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2021
Export Manager For Agricultural Company - 10th...,Confidential,"10th Of Ramadan City, Sharqia",15,10th Of Ramadan City,Manager,Full Time,Software Engneering,2021
Senior UI UX Designer,Confidential,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
Big Data Engineer,Interact Technology Solutions,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2021
Solution Sales Professional,Webhelp,"New Cairo, Cairo",5,New Cairo,Experienced,Full Time,Software Engneering,2021
Senior Quality Control Engineer,SmartTech Systems,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Migration Project Manager,FlairsTech,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
System Engineer,URANIUM,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
MERN Stack Team Leader,Tech SquAd,"6th Of October, Giza",5,6th Of October,Manager,Full Time,Software Engneering,2021
Data Analyst,Misrhytech,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Senior Database Engineer,e-finance,"Smart Village, Giza",3,Smart Village,Experienced,Full Time,Software Engneering,2021
Product Manager,Mideast Software,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2021
Senior Oracle DBA,e-finance,"Smart Village, Giza",3,Smart Village,Experienced,Full Time,Software Engneering,2021
UI/UX Designer - Mid & Senior Level,Ibtikar,"Alexandria, Egypt",2,Alexandria,Experienced,Full Time,Software Engneering,2021
Technical Support Engineer,HeadHunters,"Obour City, Cairo",2,Obour City,Experienced,Full Time,Software Engneering,2021
Technical Project Lead,almentor,"Maadi, Cairo",7,Maadi,Manager,Full Time,Software Engneering,2021
System Analyst,Caduceus Lane,"Alexandria, Egypt",4,Alexandria,Experienced,Full Time,Software Engneering,2021
UI/UX instructor,CODINGHUT,"Sheikh Zayed, Giza",3,Sheikh Zayed,Experienced,Full Time,Software Engneering,2021
System Implementation Engineer,Fawry Banking & Payment Technology Services,"Smart Village, Giza",2,Smart Village,Experienced,Full Time,Software Engneering,2021
System Analyst,ACTS,"Qasr ِAlnil, Cairo",2,Qasr ِAlnil,Experienced,Full Time,Software Engneering,2021
Shopify Expert,Cow Gifts,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2021
Android Engineer,CASHU,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2021
Service Engineer (Docucare),Xerox Egypt,"6th Of October, Giza",0,6th Of October,Entry Level,Full Time,Software Engneering,2021
Scrum Master,Dimofinf Operations Center,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Release Manager,Confidential,"Riyadh, Saudi Arabia",5,Riyadh,Manager,Full Time,Software Engneering,2021
Mid-level Front End Angular Engineer,Capiter,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Network Engineer,Softec Technologies,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Assistant Lecturer In Engineering In Physics,Egypt University of Informatics (EUI),"New Capital, Cairo",1,New Capital,Entry Level,Full Time,Software Engneering,2021
Assistant Lecturer In Engineering In Mathematics,Egypt University of Informatics (EUI),"New Capital, Cairo",1,New Capital,Entry Level,Full Time,Software Engneering,2021
Senior Python Technologist,Nagwa,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Help Desk Specialist,TurnDigital,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Autosar Engineer - (Relocation To Croatia),GlobalLogic,"Zagreb, Croatia",1,Zagreb,Entry Level,Full Time,Software Engneering,2021
Senior Front End Engineer,buseet,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Senior Business Analyst,Easy Cash,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2021
Business Coordinator,Mitsui & Co.,"Giza, Egypt",3,Giza,Experienced,Full Time,Software Engneering,2021
Senior Project Manager,Interact Technology Solutions,"Maadi, Cairo",10,Maadi,Manager,Full Time,Software Engneering,2021
Quality Control Lead,TurnDigital,"Cairo, Egypt",6,Cairo,Manager,Full Time,Software Engneering,2021
UX Designer,WebBeds,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Brand Manager,New Egypt Gold,"Heliopolis, Cairo",5,Heliopolis,Manager,Full Time,Software Engneering,2021
Senior Quality Control Engineer,Extreme Solution,"Downtown, Cairo",5,Downtown,Experienced,Full Time,Software Engneering,2021
Digital Analytics Expert,Fawry Banking & Payment Technology Services,"6th Of October, Giza",6,6th Of October,Experienced,Full Time,Software Engneering,2021
QC Engineer,FlairsTech,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Quality Assurance & Automation Engineer,"Nile Bits, LLC","6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2021
Technical Support Agent,Tafeal,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2021
Project Manager Engineer,Elreyad for Trading & Real Estate Development,"Alexandria, Egypt",10,Alexandria,Experienced,Full Time,Software Engneering,2021
Infrastructure Engineer,National Technology,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2021
Product Specialist/Senior Business Analyst,Silicon Egypt,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2021
Lecturer Electrical Engineering - Embedded Systems,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2021
MS Dynamics Consultant,New Egypt Gold,"Obour City, Cairo",5,Obour City,Experienced,Full Time,Software Engneering,2021
VOIP Administrator - Cairo,E3mel Business for Financial & Managerial Consultancy,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2021
Scrum Master,Micro Engineering,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2021
VFX Video Editing Intern,STEP,"New Cairo, Cairo",0,New Cairo,Manager,Internship,Software Engneering,2021
Accounting Supervisor,AXA Egypt,"New Cairo, Cairo",5,New Cairo,Manager,Full Time,Software Engneering,2021
.Net Team Leader,Advansys ESC,"Nasr City, Cairo",8,Nasr City,Experienced,Full Time,Software Engneering,2021
Senior Account Manager,FlairsTech,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2021
Marketing Specialist,Snapology of Egypt,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time And Part Time,Software Engneering,2021
ICT (Computer) Teacher - Tanta,Future British International School,"Tanta, Gharbia",2,Tanta,Experienced,Full Time,Software Engneering,2021
Information Security Team Lead,Pharma Overseas,"Alexandria, Egypt",2,Alexandria,Manager,Full Time,Software Engneering,2021
System Administrator,TurnDigital,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2021
Sales Manager (Government or Defense Sectors),egabi solutions,"Cairo, Egypt",8,Cairo,Manager,Full Time,Software Engneering,2021
Front End Technical Lead,LINK Development,"Maadi, Cairo",7,Maadi,Manager,Full Time,Software Engneering,2021
Product Owner - UK LamasaTech Team (Alexandria),Procrew,"San Stefano, Alexandria",3,San Stefano,Experienced,Full Time,Software Engneering,2021
Scrum Master,Fawry Banking & Payment Technology Services,"6th Of October, Giza",7,6th Of October,Manager,Full Time,Software Engneering,2021
Senior UI /UX Designer,Caelum Egypt,"Dokki, Giza",5,Dokki,Experienced,Full Time,Software Engneering,2021
Senior Odoo Implementer,E3mel Business for Financial & Managerial Consultancy,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
System Administrator,Monkeys,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2021
Operations Manager,Aman Holding,"Nasr City, Cairo",10,Nasr City,Manager,Full Time,Software Engneering,2021
Cloud Engineer,Evolvice GmbH,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2021
