title,company_name,exp_years,location,city,level,time,category,year
Customer Care Supervisor - Tanta & Mansoura,El Nahar for Medical Solutions,5,"Tanta, Gharbia",Tanta,Manager,Full Time,Software Engneering,2020
Senior Data Analyst,Unknown,5,"New Capital, Cairo",New Capital,Experienced,Full Time,Software Engneering,2020
English Instructor,Engosoft,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Retail Sales Manager - Paints (Decorative...,Floortec,10,"6th Of October, Giza",6th Of October,Manager,Full Time,Software Engneering,2020
Project Engineer,Swedish Group,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Office Manager,Unknown,4,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Creative Content Creator,Unknown,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Cost Control Manager,Alkan CIT,10,"Maadi, Cairo",Maadi,Manager,Full Time,Software Engneering,2020
Digital Marketing Manager,IPC,9,"Cairo, Egypt",Cairo,Manager,Full Time,Software Engneering,2020
Network Security Engineer,EGID company,4,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
ERP Application Administrator - Odoo,Tredco For Engineering Industries,1,"10th Of Ramadan City, Sharqia",10th Of Ramadan City,Entry Level,Full Time,Software Engneering,2020
Projects Manager,Unknown,10,"Giza, Egypt",Giza,Manager,Full Time,Software Engneering,2020
Senior Sales Engineer,TMA For Industrial Supplies,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
SAP FI-CA Consultant,e-finance,5,"Abu Rawash, Giza",Abu Rawash,Experienced,Full Time,Software Engneering,2020
Senior Payroll & Personnel Specialist,Unknown,3,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Purchasing Executive (Packaging Material),EVA Cosmetics,5,"6th Of October, Giza",6th Of October,Experienced,Full Time,Software Engneering,2020
Senior Planning Engineer,Kandil Industries,3,"10th Of Ramadan City, Sharqia",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Bidding Specialist,Alkan CIT,7,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Translation Reviewers -English/Arabic & Vice Versa,db Group,4,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior UI/UX Designer,PaySky,4,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
SOC Analyst/Engineer - KSA,Unknown,5,"Riyadh, Saudi Arabia",Riyadh,Experienced,Full Time,Software Engneering,2020
Account Manager,Five,2,"Sheikh Zayed, Giza",Sheikh Zayed,Experienced,Full Time,Software Engneering,2020
Clinical Operations Manager,TCD MENA,5,"Heliopolis, Cairo",Heliopolis,Manager,Full Time,Software Engneering,2020
Senior Marketing Manager,Al Futtaim,10,"New Cairo, Cairo",New Cairo,Manager,Full Time,Software Engneering,2020
Senior Graphic Animator,PanExcel,3,"Cairo, Egypt",Cairo,Manager,Full Time,Software Engneering,2020
AI Consultant - Freelance/Project,Unknown,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
PLC Electrical Engineer,Unknown,5,"Obour City, Cairo",Obour City,Experienced,Full Time,Software Engneering,2020
Call Center Agent,Allamna Integrated Solutions,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
