title,company_name,exp_years,location,city,level,time,category,year
Sales Supervisor - North Upper Egypt,PepsiCo International,1,"Beni Suef, Egypt",Beni Suef,Manager,Full Time,Software Engneering,2020
Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,1,"Assiut, Egypt",Assiut,Entry Level,Full Time,Software Engneering,2020
Software Developer,Rednet It Services,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Software Quality Control Engineer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior E-Commerce Software Developer (Magento 2),shop4build,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Software Developer,BlueCloud,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Software Quality Control Engineer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer,BlueCloud,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Software Development Manager,Nahdet Misr Publishing Group,10,"Mohandessin, Giza",Mohandessin,Manager,Full Time,Software Engneering,2020
Software Developer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Sales Supervisor - South Upper Egypt,PepsiCo International,1,"Aswan, Egypt",Aswan,Manager,Full Time,Software Engneering,2020
ERP Sales Professional - For Egypt and Saudi...,OdooTec,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Sales Supervisor - North Upper Egypt,PepsiCo International,1,"Beni Suef, Egypt",Beni Suef,Manager,Full Time,Software Engneering,2020
Software Development Manager,Nahdet Misr Publishing Group,10,"Mohandessin, Giza",Mohandessin,Manager,Full Time,Software Engneering,2020
ERP Sales Professional - For Egypt and Saudi...,OdooTec,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior Software Developer (Embedded C++),CrossWorkers,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Software Developer,Rashideen Egypt for Trade,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Software Developer,AIESEC - MANSOURA,1,"Itajuba, Brazil",Itajuba,Entry Level,Internship,Software Engneering,2020
Senior E-Commerce Software Developer (Magento 2),shop4build,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Software Implementation Specialist,Informatique Education,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Software Developer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Software Quality Control Engineer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,1,"Assiut, Egypt",Assiut,Entry Level,Full Time,Software Engneering,2020
Software Developer,Bnsights,0,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Software Developer,Rashideen Egypt for Trade,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Software Developer,Rednet It Services,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Magento Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Software Developer,AIESEC - MANSOURA,1,"Itajuba, Brazil",Itajuba,Entry Level,Internship,Software Engneering,2020
Sales Supervisor - South Upper Egypt,PepsiCo International,1,"Aswan, Egypt",Aswan,Manager,Full Time,Software Engneering,2020
Senior Software Quality Control Engineer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,0,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer,Bnsights,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Software Implementation Specialist,Informatique Education,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,0,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Senior Software Developer (Embedded C++),CrossWorkers,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Magento Software Developer,Interact Technology Solutions,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
IT Manager,Al Andalous Medical Company,10,"6th Of October, Giza",6th Of October,Manager,Full Time,IT Category,2020
IT Help Desk Specialist,Unknown,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,IT Category,2020
IT Help Desk Engineer - Nile Badrawi Hospital,Cleopatra Hospitals Group,2,"Maadi, Cairo",Maadi,Experienced,Full Time,IT Category,2020
IT Technical Support Specialist,The Egyptian Company For Prestressed Concrete,2,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,IT Category,2020
IT Technical Support Specialist,Unknown,1,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Entry Level,Full Time,IT Category,2020
IT Manager,Expand Cart,6,"Cairo, Egypt",Cairo,Manager,Full Time,IT Category,2020
IT Team Leader,World Business Fitness,5,"New Cairo, Cairo",New Cairo,Manager,Full Time,IT Category,2020
Assistant IT Manager - Alexandria,Paradise Inn Hotels & Resorts,7,"Mahta Alraml, Alexandria",Mahta Alraml,Manager,Full Time,IT Category,2020
IT Specialist,La-Verde Real Estate,2,"Sheraton, Cairo",Sheraton,Experienced,Full Time,IT Category,2020
IT Operations Team Leader,Union Group,5,"Obour City, Cairo",Obour City,Manager,Full Time,IT Category,2020
IT programming Intern (.Net) - Seven,AIESEC - MANSOURA,5,"Uberlandia, Brazil",Uberlandia,Entry Level,Internship,IT Category,2020
Senior Java Spring Developer,Digital Force,5,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
IT Help Desk Specialist,E3mel Business for Financial & Managerial Consultancy,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,IT Category,2020
IT Manager/ Project Manager,Unknown,5,"Maadi, Cairo",Maadi,Manager,Full Time,IT Category,2020
IT Specialist,London International Patient Services,1,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,IT Category,2020
IT Help Desk,Unknown,1,"Obour City, Cairo",Obour City,Entry Level,Full Time,IT Category,2020
Head Of Sales (IT Background),Premier Services and Recruitment,10,"New Cairo, Cairo",New Cairo,Manager,Full Time,IT Category,2020
IT Specialist,El Massria Integrated Schools,2,"10th Of Ramadan City, Sharqia",10th Of Ramadan City,Experienced,Full Time,IT Category,2020
IT Assistant Manager,Unknown,12,"Dokki, Giza",Dokki,Experienced,Full Time,IT Category,2020
IT System Analyst - Banking,Xceed,7,"Maadi, Cairo",Maadi,Experienced,Full Time,IT Category,2020
Backend Developer,Bites for Development,3,"Giza, Egypt",Giza,Experienced,Full Time,Software Engneering,2020
Senior Back-End Developer,TravelYalla,4,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
UI Developer / Designer,Future Face,4,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer,Mongez,4,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior International Marketing Specialist,ITIDA,3,"6th Of October, Giza",6th Of October,Experienced,Full Time,Software Engneering,2020
Full-Stack WordPress Developer,Unknown,3,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Senior Front End Developer,Premier Services and Recruitment,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
iOS Developer,Ads Solution,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,Software Engneering,2020
Front-End Developer (Vue.js),BeSteam,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Business Development Specialist,Talents Arena,1,"Smart Village, Giza",Smart Village,Entry Level,Full Time,Software Engneering,2020
Flutter Developer,BCS,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Sr. Android Developer,TruDoc 24x7,3,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Senior .NET Developer Back-end,Dexef,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Developer,Global Vision,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior Android Developer,Tocaan,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Mobile Development Lead - Android & iOS,Ghyma for Tourism,2,"Riyadh, Saudi Arabia",Riyadh,Manager,Full Time,Software Engneering,2020
Full Stack (PHP) Developer,Tech-Hub,4,"Sharjah, United Arab Emirates",Sharjah,Experienced,Full Time,Software Engneering,2020
Front-End Developer (React),Majal,3,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Senior SharePoint Developer - Nintex Experience,Ebtkarat Information Technology,7,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Front End Developer,Radivision,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
PHP Laravel Developer,Esmaar,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Android Developer,Singleclic,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Oracle JD Edwards Technical Developer,Orchidia Pharmaceutical Industries,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Android Developer,BrandMark - Marketing Solutions,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
UI Designer & Front End Developer,Worex,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Power BI Developer,Centro Global Solutions,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Senior Node. Js Developer,3D Diagnostix,5,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
React Native Mobile Developer,Alexandria For Programming,2,"Bolkly, Alexandria",Bolkly,Experienced,Full Time,Software Engneering,2020
Technical Expert (AKA Engineer),North South Consultants Exchange,8,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Front End Developer,ApexAITechnologies,1,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,Software Engneering,2020
Front-End Developer -Brazil,AIESEC - MANSOURA,5,"Belo Horizonte, Brazil",Belo Horizonte,Entry Level,Internship,Software Engneering,2020
Senior Front-End Developer,appcorp,3,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Back End Developer (PHP - Laravel),Majal,2,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Front End Developer,Irithm,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Senior Dot Net Developer,Orient Egypt,5,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Backend Developer (Node.Js),Yalla Fel Sekka,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,GCCS Ads,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Office Manager,Minds,5,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
UI Developer,Andalusia Group,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
PHP Laravel Developer/Tester,Esmaar,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Cross Platform Mobile Developer,MigrationIT.com,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Front-End Web Developer (Angular),DIRAC SYSTEMS,3,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Business Developer Intern,Magdsoft,0,"Nasr City, Cairo",Nasr City,Manager,Internship,Software Engneering,2020
Android Mobile Developer,QCENTRIS,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Senior Web Developer,SAED,7,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Sr. iOS Developer,Ebling,4,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Full Stack WordPress Web Developer,Infinity Business Solutions,4,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Senior JavaScript Developer,G-Tree Consulting Group,4,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
React Front End Developer,Nile Creations,1,"Heliopolis, Cairo",Heliopolis,Entry Level,Full Time,Software Engneering,2020
Senior Net Developer,COLNN,5,"Mohandessin, Giza",Mohandessin,Experienced,Full Time,Software Engneering,2020
Senior Android developer,Odiggo,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Web Developer,EGIC,4,"Manial, Cairo",Manial,Experienced,Full Time,Software Engneering,2020
Senior Full Stack PHP Developer - 6th of...,Clavis Business Solutions,3,"6th Of October, Giza",6th Of October,Experienced,Full Time,Software Engneering,2020
BPM Developer,Youxel,2,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Nodejs Developer,Unknown,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
iOS Mobile Developer,QCENTRIS,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
ERPNext Developer,Kandil Industries,4,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Junior Angular Front-End Developer,IT Pillars,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Sales Agent,Madar plus,1,"Obour City, Cairo",Obour City,Entry Level,Full Time,Software Engneering,2020
Web Developer (Front-End & Back-End),Unknown,4,"Salam City, Cairo",Salam City,Experienced,Full Time,Software Engneering,2020
Odoo Developer,MAKDZONE,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Full Stack Developer (Internship),Seuqel Solutions,0,"Downtown, Cairo",Downtown,Manager,Internship,Software Engneering,2020
Front-End Web Developer (Angular) - Remotely,Pan Arab Media Inc,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Business Development Specialist,Pro Solutions,1,"Mansoura, Dakahlia",Mansoura,Entry Level,Full Time,Software Engneering,2020
Odoo Developer,Centione,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Assistant Manager - Regulatory Compliance,Allianz,3,"New Cairo, Cairo",New Cairo,Manager,Full Time,Software Engneering,2020
Senior Power BI Developer,Ghassan Ahmed Alsulaiman for Electronic Services,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer,AlgorithmZ –Tooli,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,Art dimension,3,"Giza, Egypt",Giza,Experienced,Full Time,Software Engneering,2020
Senior Mobile Apps Developer (React Native),RMG,6,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Android Developer / Alexandria,Unknown,2,"Smouha, Alexandria",Smouha,Experienced,Full Time,Software Engneering,2020
Java Developer,Aman,0,"Giza, Egypt",Giza,Entry Level,Full Time,Software Engneering,2020
BI Developer,Ghassan Ahmed Alsulaiman for Electronic Services,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Opencart Developer,Unknown,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior SharePoint Developer,SAED,5,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior ETL Developer,Ejada (Cairo),4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Italian Business Development Team Lead...,citpeak,2,"Nasr City, Cairo",Nasr City,Manager,Full Time,Software Engneering,2020
ADF Developer - Alexandria,Ascon Advanced Solutions & Consultant,1,"Alexandria, Egypt",Alexandria,Entry Level,Full Time,Software Engneering,2020
Senior Flutter Developer,Entrepreware,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
CRM Developer,Ghassan Ahmed Alsulaiman for Electronic Services,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
IOS & Android Mobile Application Developer,Sharee Coin,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior CRM Developer,Ghassan Ahmed Alsulaiman for Electronic Services,5,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Drupal Developer,SAG Technologies,5,"Zamalek, Cairo",Zamalek,Experienced,Full Time,Software Engneering,2020
Senior Mobile Developer (Both iOS & Android),El-Taef,2,"Giza, Egypt",Giza,Experienced,Full Time,Software Engneering,2020
PHP Laravel Senior Developer,Egybell,4,"Sheikh Zayed, Giza",Sheikh Zayed,Experienced,Full Time,Software Engneering,2020
Sr. Android Developer,Ebling,4,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Front End Developer - Alexandria,Caduceus Lane,2,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
Senior Integration Engineer,Path-Solutions,5,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
GIS Web Developer - Saudi Arabia,Leader,5,"Dammam, Saudi Arabia",Dammam,Experienced,Full Time,Software Engneering,2020
Senior ETL Developer,Ejada (Cairo),4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Front End Developer,Bites for Development,1,"Giza, Egypt",Giza,Entry Level,Full Time,Software Engneering,2020
Sharepoint Developer,Alnafitha,3,"Zamalek, Cairo",Zamalek,Experienced,Full Time,Software Engneering,2020
Senior PHP Developer,The Portal,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Front End Developer,TruDoc 24x7,5,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Business Development Manager (E-Learning),Unknown,3,"Nasr City, Cairo",Nasr City,Manager,Full Time,Software Engneering,2020
Senior Front End Developer - Full Time,Dexef,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
React Native Mobile Developer,TravelYalla,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Business Development Engineer,Smart Lighting,0,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,Software Engneering,2020
Senior Front End Developer - React,GetTechForce.com,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Senior Front-End Developer,Glamera,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Front End Developer - React JS,Odiggo,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Web Developer,Gardenia Pharmacies,3,"Sheikh Zayed, Giza",Sheikh Zayed,Experienced,Full Time,Software Engneering,2020
Business Development Specialist,EL KHETA,2,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
PR/social media & Internal Communications...,DYNINNO Egypt,3,"Smart Village, Giza",Smart Village,Experienced,Full Time,Software Engneering,2020
ERP Technical Consultant / Developer -...,Trax Group Company,2,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Front End Developer (React),iHorizons,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
WordPress Developer,CIC- Canadian International College,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
PHP Web Developer,Etolv,1,"Dokki, Giza",Dokki,Entry Level,Full Time,Software Engneering,2020
Oracle Sales Consultant,Hits-Consulting,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Embedded firmware developer C / C++,Unknown,0,"Mansoura, Dakahlia",Mansoura,Experienced,Full Time,Software Engneering,2020
SQL Server DBA and Developer and SSIS,CHUIFY LIMITED,6,"Nairobi, Kenya",Nairobi,Experienced,Full Time,Software Engneering,2020
Senior.Net Developer,ICIS,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Business Developer,Markova,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Audience Development Specialist,Qanawat,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Senior Business Development Specialist,Namaa InfoLogistics,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
PHP Web Developer,Unknown,0,"Mansoura, Dakahlia",Mansoura,Entry Level,Full Time,Software Engneering,2020
"Programming Instructor (C#,SQL Administration,...",EPSILON TRAINING CENTER,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
CakePHP Backend Developer - Cairo,Zeew,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
PHP Developer,Lyve,1,"Heliopolis, Cairo",Heliopolis,Entry Level,Full Time,Software Engneering,2020
Experienced/Senior Android Developer (Immediate...,I2M,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Dot Net Developer,Pointability,3,"Haram, Giza",Haram,Experienced,Full Time,Software Engneering,2020
PR/social media & Internal Communications...,DYNINNO Egypt,3,"Smart Village, Giza",Smart Village,Experienced,Full Time,Software Engneering,2020
Business Development Supervisor,Nahdet Misr Publishing Group,4,"Mohandessin, Giza",Mohandessin,Experienced,Full Time,Software Engneering,2020
Mobile Developer ( Android Watch ),Safa Soft,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior RPA Developer,Advansys ESC,4,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Oracle Apps Developer,Rowad Modern Engineering,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Oracle Sales Consultant,Hits-Consulting,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Front End Developer React JS,Safa Soft,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
UI/UX Front-End - WordPress Developer,VadeCom,2,"Haram, Giza",Haram,Experienced,Full Time,Software Engneering,2020
SQL Developer - Experienced,HITS Technologies,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
iOS/Android Developer - Full-time,Startup Manager,3,"Downtown, Cairo",Downtown,Experienced,Full Time,Software Engneering,2020
WordPress & PHP Developer - Cairo,Opio,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior WordPress Developer,Crepixa,3,"Nasr City, Cairo",Nasr City,Manager,Full Time,Software Engneering,2020
UI Designer / Front-End Developer,@DESIGNS Agency,1,"Dokki, Giza",Dokki,Entry Level,Full Time,Software Engneering,2020
iOS/Android Developer - Freelance,Startup Manager,3,"Downtown, Cairo",Downtown,Experienced,Full Time,Software Engneering,2020
IOS Developer,PIXEL,2,"Hadayek Alahram, Giza",Hadayek Alahram,Experienced,Full Time,Software Engneering,2020
Content Developer,The Lean,3,"Giza, Egypt",Giza,Experienced,Full Time,Software Engneering,2020
Product Owner,VA Computing Egypt,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Magento Developer,tshween.com,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Database Developer,Easy System,15,"Mokattam, Cairo",Mokattam,Experienced,Full Time,Software Engneering,2020
Mobile Developer - React Native,IKEN Technology,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Oracle SOA Integration Developer,Ghassan Ahmed Alsulaiman for Electronic Services,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Assistant Front End Angular Developer R1,YELO,0,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,Software Engneering,2020
Senior Test Automation Engineer,Zealous Solutions Ltd.,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Salesforce Developer / Admin,Flairstech,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Business Development Consultant,Smart GYM,3,"Nasr City, Cairo",Nasr City,Manager,Full Time,Software Engneering,2020
Java Developer - Entry level,YELO,0,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,Software Engneering,2020
AX Technical Developer,CompactSoft International,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Back-end Developer/PHP/JAVA - Remotely work,EMIRATES BARQ,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Unreal Developer,Unknown,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Junior Oracle Developer,Egyptian Takaful Property and Liability,1,"Mohandessin, Giza",Mohandessin,Entry Level,Full Time,Software Engneering,2020
Business Developer,HPA (Highly Professional Advisors),1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Business Development Intern,Arrows,0,"6th Of October, Giza",6th Of October,Entry Level,Internship,Software Engneering,2020
SAP Sales Executive - Alexandria,Pharma Overseas,3,"Smouha, Alexandria",Smouha,Experienced,Full Time,Software Engneering,2020
Business Development Executive,Social Peak,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,Software Engneering,2020
Business Development Specialist,Statements for Consulting,4,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Web User Interface Developer,Pefect Presentation,7,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Business Development Executive,Social Peak,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Account Manager - Digital Media & Marketing...,Raffles Advertising Creative House,4,"New Cairo, Cairo",New Cairo,Manager,Full Time,Software Engneering,2020
Microsoft Business Intelligence Developer,Tidal,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Front-End Developer,Youxel,2,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Drupal Developer,TechyTypes,2,"Giza, Egypt",Giza,Experienced,Full Time,Software Engneering,2020
Business Development Manager,Unknown,10,"Sheikh Zayed, Giza",Sheikh Zayed,Manager,Full Time,Software Engneering,2020
Technical Engineer,Huawei Technologies Egypt,2,"Downtown, Cairo",Downtown,Experienced,Full Time,Software Engneering,2020
Business Development Specialist - Lighting Field,Electro,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Senior Oracle Developer - Apex,Englizya for public transportation,4,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Key Accounts Sales Admin,Talabat,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Salesforce Developer / Admin,Flairstech,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Business Development Executive,Innovinity Medical Hub,4,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Application Support Engineer,Wireless Dynamics,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Business Development Executive - Sales,Unknown,5,"6th Of October, Giza",6th Of October,Experienced,Full Time,Software Engneering,2020
Laravel Developer,As Good As New,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Business Development Manager,Nahdet Misr Publishing Group,8,"Mohandessin, Giza",Mohandessin,Manager,Full Time,Software Engneering,2020
Junior Business Development Engineer,Asass,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior PHP Developer (Laravel),Our Education,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
