job_title✫company_names✫company_locations✫job_description
Associate Software Developer - CRM✫Veripark✫- Cairo, Egypt✫Full Time · Experienced · 3+ Yrs of Exp · CRM · Software Development · Information Technology (IT) · Computer Science · Engineering · MS Dynamics CRM · Computer Engineering · MS CRM · Electronics - August 4, 2021
Software Developer✫HITS Technologies✫- Nasr City, Cairo✫Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Integration · Software Development · Software Engineering · JSON - July 29, 2021
Java Software Developer✫Tawzef✫- Cairo, Egypt✫Full Time · Experienced · 2-3 Yrs of Exp · Software Development · Engineering · Java · Computer Science · Information Technology (IT) · Development · Java Development · Computer · Science - August 2, 2021
Senior Full Stack Software Developer✫FlairsTech✫- Maadi, Cairo✫Full Time · Experienced · 5-7 Yrs of Exp · .Net · ASP.Net · Computer Science · AngularJS · Agile · Information Technology (IT) · MS SQL · SQL · Software Development · Full Stack - New
Software Developer - Experienced✫HITS Technologies✫- Nasr City, Cairo✫Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Integration · Software Development · Software Engineering · JSON - July 29, 2021
Principal Software Developer - VueJS✫CrossWorkers✫- New Cairo, Cairo✫Full Time · Experienced · 4-10 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · javaScript · CSS · HTML · PHP · HTML5 · Software · React · jQuery · Programming - July 12, 2021
Senior Software Developer - VB.Net✫CrossWorkers✫- New Cairo, Cairo✫Full Time · Experienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · javaScript · SQL · Software · MVC · Git · English · Programming · REST · Postman - July 12, 2021
Mid-level Software Developer✫52nd Solution✫- Alexandria, Egypt✫Full Time · Experienced · 3-7 Yrs of Exp · C# · C#.Net · Computer Science · Software Engineering · Engineering · Software Development · Information Technology (IT) · MVC · .NET · Razor · MySQL - July 21, 2021
Software iSeries Developer✫Target Recruitment  & HR Solutions✫- Cairo, Egypt✫Full Time · Experienced · 5-10 Yrs of Exp · IT · AS400 · iSeries · IBMi · MS SQL · BI Tool · Business Object · Power BI · RPG · RPGLE · SDU · Query · CLLE · Computer Engineering - July 12, 2021
Software Development Engineer / Test SDET...✫Cegedim✫- New Cairo, Cairo✫Full Time · Experienced · 3+ Yrs of Exp · Computer Science · Computer Engineering · Information Technology (IT) · Test Automation · Testing · Quality · Quality Assurance · Quality Control · C# - New
Software Developer (.Net Core)✫Automated Systems✫- Maadi, Cairo✫Full Time · Entry Level · 1+ Yrs of Exp · .NET · APIs · OOP · RESTful · Information Technology (IT) · Software Development · Computer Science · Development · Computer Engineering · backend - July 27, 2021
Software Java Developer (JPA)✫Fawry Banking & Payment Technology Services✫- Smart Village, Giza✫Full Time · Entry Level · 1-4 Yrs of Exp · Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets · JSF · Web Services - July 26, 2021
Software Testing Engineer✫World of systems and software✫- New Cairo, Cairo✫Full Time · Experienced · 2-3 Yrs of Exp · Computer Science · Information Technology (IT) · Testing · Software Development · SQL · ISTQB · Software · Software Testing · Automation · API Testing - July 12, 2021
Software Developer✫TAB ERP Solutions✫- Nasr City, Cairo✫Full Time · Experienced · 2+ Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · javaScript · CSS · HTML · Angular · Development · ASP.NET · Front-End · Bootstrap - July 14, 2021
Senior Software Developer (.NET)✫Veripark✫- Cairo, Egypt✫Full Time · Experienced · 5+ Yrs of Exp · .NET · ASP.NET · Information Technology (IT) · Software Development · Computer Science · javaScript · Computer Engineering · MVVM · SQL · MVC · jQuery - August 4, 2021
